id,reference,hypothesis,wer_pct,cer_pct
1,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,Elm adamları planetlərin xüsusilə də qoyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə topuşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır.,9.09,1.92
2,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,"Onun 20 yaşlarında olduğu bildirilir. Biber açıqlamasında, bu faziyəvi qazanın birbaşa iştirakçısı olmasam da, düşüncülərim və dualarım hadisə qurbanının ailəsinin yanındadır, dedi.",13.64,2.29
3,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,Pulcub kimi dərisi və dirnaqlaronla ayaqlara sahib bu quşlar yumurta qoya bilir və tiranozavr reqslər kimi iki arx ayaqlarının üstündə gəzə bilirlər.,26.09,5.92
4,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar,"Şov başladıqdan sadəcə 5 dəqiqə sonra küləyəsməyə başladı. 1 dəqiqə keçməmiş küləyin sürəti artıq saatdə 70 km idi. Sonra yağış gəldi, amma yağış damcılar o qədər sərt və böyük idi ki, dəriyə iğnə kimi batırdı. Sonrası göydən dolu yağdı. İnsanlar təşvişlə və bağıraraq bir-birlərin üstündən keçirək qaçmağa başladılar.",22.92,4.13
5,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,"Maria adlanan qaranlıq qatların altında daha nazik, dağlıq yerlərin altında isə daha qalın görünür.",0.0,0.0
6,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,"ABŞ-ın Geoloji Xidmətlər Bürosunun Astrologiya Heyətindən və Arizona Ştatının Flaxstaff şəhərində yerləşən Şimali Arizona Universitetindən olan Glenn Cushing indəliyinə görə, onların termal hərəkətləri, yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabilləyil. Ancaq bu, həmin dərin dərəklərin torbaqda olması ilə əlaqəlidir.",17.39,4.53
7,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir,"Katalog dili metrada müntəzəm olaraq verilən elanların əsas dilidir. Lakin, avtomatlaşdırılmış, sistem panlaşdırılmamış problemlər barədə elanlar fərqli dillərdə, o cübdədən ispan, ingilis, fransız, ərəb və yapon dillərində verilir.",21.43,3.57
8,körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,"Körpünün istifadəyə verilişi 2017-ci ilin səntiəbrayına, yəni Braziliya gömlüq nəzarəti məntəqələrinin işlərini bitirəcəyi vaxtda planlaşdırılır.",25.0,4.93
9,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,"Elbəxt də bu ənənənin xristiyan dini baxımından izahı var, amma bu xristiyanlıqdan əvvəl olan baharın gərişi və məhsuldarlıq səbəbi ilə də keçirilə bilər.",33.33,6.16
10,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,"Yenə də, şəngin zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir.",8.33,2.63
11,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,Bu tapındı həm də quşlə eləklərinin təkamül haqqında təsəvvür yaradır.,40.0,7.25
12,sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır,"Sundarban dünyanın ən böyük sahil yanı Mangrov bölgəsidir və sahildən Bangladiş və Hindistanın içərilərinə doğru 80 km, 50 mil uzanır.",21.05,3.05
13,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı,"O, bütün bu şayələri siyasi boşboğazlıq və axmıqlıq adlandırırdı.",33.33,6.45
14,mərasimin i̇taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı,"Mərasimin İtaliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində, xüsusilə də Polşada geniş insan kütlərlə tərəfindən izlənməsi üçün həmin yerlərə eyni şəkildə nəhək ekranlar quraşdırılırdı.",14.81,4.93
15,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı,Filipbinin fotograflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı.,16.67,5.0
16,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər,"Qonaqların rüq yüksəkliyini qorumaq və onların həmin yerdə qonaqlanmasını təmin etmək üçün onlar adətən xüsusi yemək, içmək və əyləncə təklif edirlər.",25.0,4.05
